posts,date,time
"✏С 1 марта 2023 года на новую систему хозяйствования перешли еще 10 кварталов Приморского района. 
 
Заместитель главы администрации Приморского района Елена Красильникова и директор районного жилищного агентства Евгений Хаткевич посетили с объездом первые 3 территории - ЖК «Шуваловский», ЖК «Чистое небо» и «Юбилейный квартал». 
 
Руководители выехали на место, чтобы познакомиться с особенностями данных локаций, оценить качество уборки и дать рекомендации по их содержанию. Также они смогли увидеть новую технику в работе, пообщаться с механизаторами и работниками ручного труда. 
 
🧹В общей сложности под контролем районного жилищного агентства находится 576,3 тысяч кв. метров внутриквартальных территорий. 
 
Напомним, переход на новую систему хозяйствования начался с 1 января 2023 года и происходит постепенно, в несколько этапов. Она позволит централизованно контролировать качество работ. 
 
 
#приморский #приморскийрайон 
 #ДелаемПетербургЧище",03-03-2023,09:24:04
"⛔ ГАТИ информирует о планируемых закрытиях и ограничениях дорожного движения в Приморском районе

📆С 6 по 7 марта (2-й этап) в связи с производством работ по строительству газопровода закрывается движение транспорта по проспекту Калинина от Хвойной улицы до Пролетарского проспекта.

Объезд: Хвойная улица, Пролетарский проспект, проспект 
Ленина. Будьте внимательны и выбирайте маршрут следования заранее☝🏻

#приморский #приморскийрайон #ограничения",03-03-2023,08:14:58
"В Приморском районе прошла акция «Скорость - не главное!»

Сотрудники Госавтоинспекции совместно с учениками 601 школы провели добрую акцию для водителей района. Ученики изготовили брелоки для подвешивания в автомобиле в виде домиков, отражающие главную мысль акции «Скорость - не главное!», символизирующие, что в жизни главное не скорость, а дом, в котором тебя ждут.

А сотрудники полиции проводили разъяснительные беседы. 🚗 Водители, в свою очередь, пообещали соблюдать скоростной режим и не подвергать опасности себя и других участников дорожного движения.

#приморский #приморскийрайон",02-03-2023,15:35:00
"Календарная весна принесла снежное утро. С раннего утра специалисты Жилищного агентства и управляющих компаний вышли на уборку

#приморский #приморскийрайон #ДелаемПетербургЧище",02-03-2023,09:01:54
"🔇Проверка системы оповещения населения состоится в «тихом» режиме

🔕 Проверка будет проведена без включения сирен и громкоговорителей. 
 
☝🏻 В ходе проверки будут отработаны необходимые действия дежурных и оперативных служб для обеспечения оповещения в случае чрезвычайной ситуации в соответствии с принятым порядком.",01-03-2023,06:09:53
"👷‍♂В Приморском районе прошел конкурс среди трактористов и дворников, которые убирают внутриквартальные территории

Участие приняли сотрудники управляющих организаций, районного жилищного агентства и других организаций. Конкурсанты выполнили теоретические задания и практические, по результатам были выявлены победители в номинациях «Лучший Петербургский дворник» и «Лучший Петербургский тракторист».

В номинации «Лучший Петербургский дворник» I место занял Кулик Алексей Борисович, работник ручного труда ООО ЖКС-3.

В номинации «Лучший Петербургский тракторист» I место занял Трепов Алексей Владимирович, механизатор от ООО ЖКС-1. 

Дальше победителей районного этапа ждет городской этап конкурса. В числе призов два автомобиля отечественного производства.

#приморский #приморскийрайон #ДелаемПетербургЧище",28-02-2023,15:16:24
"В аэропорту Пулково объявлена задержка рейсов до 12 часов. 
 
Аэропорт и его службы работают в штатном режиме.",28-02-2023,08:20:55
"В Санкт-Петербурге пройдет комплексная техническая проверка готовности системы оповещения населения 📡 
 
📅 1 марта с 10:35 до 10:45 пройдет ежегодная комплексная проверка готовности региональной автоматизированной системы централизованного оповещения населения Санкт-Петербурга. 
 
Во время проверки по всему городу будут включены электромеханические сирены, уличные громкоговорители, специализированные технические средства оповещения организаций, сопряженных с городской системой. 
 
Также будут задействованы телеканалы и радиостанции. 
 
Во время проведения комплексной проверки определяется исправность и готовность всех технических средств оповещения и каналов связи к массовому оповещению петербуржцев о чрезвычайных ситуациях, отрабатываются действия всех задействованных служб, а также информируются жители о порядке оповещения в случае чрезвычайной ситуации. 
 
Замечания по проведению комплексной проверки и предложения можно направить через форму обратной связи на сайте или по телефонам 004, 576-4-004.",28-02-2023,07:46:05
"☀ Отгремела Масленица в парке «Озеро Долгое» 

Праздничная программа началась с зажигательных песен и танцев. На сцене в этот день с яркими номерами выступили вокально-танцевальные коллективы, а самые активные гости приняли участие в традиционных русских забавах.

🥞Более 1,5 тысяч блинов с вкусной начинкой было съедено в этот праздник! 

Ветреная погода помешала провести традиционное сжигание чучела, но мы не расстраиваемся, потому что этот день наши гости провели необычайно весело с дружными хороводами, танцами и песнями. 
 
📸Ищите себя на фотографиях в группе [club171596754|Приморского культурного центра] https://vk.cc/clTNKu

#приморский #приморскийрайон",27-02-2023,15:33:00
,26-02-2023,00:51:25
