posts,date
"ТАНЦУЮТ ВСЕ!

7 и 9 февраля в спортивном комплексе на Нижней-Каменской состоялся Конкурс спортивно-ритмического танца среди команд дошкольных учреждений Приморского района.В течение двух дней девчонки и мальчишки из 24 учреждений демонстрировали свои умения и слаженную работу. А также порадовали зрителей яркими костюмами.

#приморскийрайон",1676044803
"ЛЫЖНЯ РОССИИ СОСТОИТСЯ, НО...

Уважаемые участники мы будем рады видеть вас завтра. Однако в связи с погодными условиями просим самостоятельно принять решение о своем участии. 

Начало регистрации в 10.00 
Для всех гостей ""Лыжни России"" в Приморском районе приготовлена концертная программа, полевая кухня (гречневая каша с мясом и горячий чай) 

Берегите себя и до завтра!",1676043266
"ТРАССА ЛЫЖНИ РОССИИ

Живописнейшая трасса в Заказнике «Северное побережье Невской губы» уже готова и ждет завтра (11 февраля) всех любителей лыж для массового лыжного старта ""Лыжня России""",1676019604
"РАСПИСАНИЕ ЛЫЖНИ РОССИИ

До нашей встречи все меньше и меньше времени. Встречаемся с вами завтра в Заказнике «Северное побережье Невской губы» (Санкт-Петербург, п. Ольгино, Приморское шоссе, д.4, к.3)

А для вашего удобства размещаем расписание стартов",1676015575
"АВТОБУСЫ НА ЛЫЖНЮ РОССИИ 🇷🇺

Вы интересовались - мы отвечаем! Предоставляем автобусы для школ и жителей, которые указали при предварительной регистрации необходимость в трансфере до места проведения районной Лыжни России и обратно. 

📍Место сбора: ул. Савушкина, 83 (здание администрации Приморского района Санкт-Петербурга, ст. метро ""Старая Деревня"") 
⌚Время сбора: 10.00 

🚍 Автобусы отправляются по мере наполнения. 
Обращаем ваше внимание, что вход в автобусы только согласно списку предварительной регистрации при предъявлении документа, удостоверяющего личность. В случае если лицо не пришло на посадку, то свободное место в автобусе предоставляется согласно очереди. Количество мест в автобусах ограничено.",1676013833
"ЛЫЖНЯ РОССИИ 2023 ❄

⚡11 февраля 2023 года по доброй зимней традиции встречаемся на массовом лыжном забеге ""Лыжня России"" в Приморском районе Санкт-Петербурга в – Заказнике «Северное побережье Невской губы» (Санкт-Петербург, п. Ольгино, Приморское шоссе, д.4, к.3) 

Подача заявок индивидуальных участников мероприятия осуществляется на электронной платформе: vk.cc/clik1G в срок до 9 февраля 2023 года. Участники мероприятия представляют на регистрации 11 февраля следующие документы: паспорт или свидетельство о рождении и медицинский допуск к участию в физкультурном мероприятии.

Всех участников Лыжни России ждет дополнительно приветствие от почетных гостей, музыкальное сопровождение, полевая кухня и сувенирная продукция 😍",1675451349
,1675326838
,1675304771
"ЛЁД НАДЕЖДЫ НАШЕЙ - 2023 ⛸⛸⛸

Хочешь принять участие во Всероссийском физкультурном мероприятии? У тебя есть коньки и ты готов пробежать на них 400 метров? Читай условия ниже и подавай заявку до 1 февраля! 💥

4 февраля на базе спортивного комплекса «Открытый конькобежный стадион с искусственным льдом имени Олимпийского чемпиона Б.А. Шилкова», расположенного по адресу: Санкт-Петербург, ул. Демьяна Бедного, д. 19, к.2, литера А состоятся открытые Всероссийские массовые соревнования по конькобежному спорту «Лед надежды нашей». 

Старты среди участников разбиты по времени на 8 возрастных групп: от самых маленьких 1 группа (1 класс) до 6 группы (лица 1996 г.р. и старше), а также 7 группа - папа, мама, ребенок (2013-2016 г.р.) и 8 группа - папа, мама и ребенок (2009-2012 г.р.). 

Для участия в мероприятии необходимо не позднее 1 февраля 2023 года прислать на адрес электронной почты: centrsporta.mer@yandex.ru или привезти в спортивный комплекс по адресу: Нижне-Каменская, 1 (администратору) следующий перечень документов: 
⛸индивидуальную заявку на участие (приложение №2) или командную заявку на участие (приложение №3); 
⛸паспорт или свидетельство о рождении на каждого участника; 
⛸ допуск врача на каждого участника. 

По вопросам проведения Мероприятия и подачи заявки для участия обращаться по телефону: 240-01-69.",1675090100
,1674936776
"ДОБРОЕ УТРО ☀️ 

Первый канал о [club197539925|спорте в парке 300-летия] 🌳",1674887040
"СЕРЕБРЯНЫЙ ДЕНЬ 🥈

В спортивном зале СШОР «Комета» в соревнованиях по настольному теннису в рамках Санкт-Петербургской спортивной лиги «Серебряный возраст» команда Приморского района в количестве 3 человек заняла 2 общекомандное место 👏💥

В этот же день в горнолыжном курорте «Охта парк» прошел Кубок СФСИ СПб по горнолыжному спорту среди инвалидов и лиц с ОВЗ. В команде Приморского районе приняло участие 5 человек. По итогам соревнований: 
🥇Болтянский Артем 
🥇Тримайлова Лариса 
🥇Опарина Марина 
🥇Козопасов Александр 
В общекомандном зачете заняли второе место 👏💥

#соревнования@centrsporta",1674832913
,1674252038
,1674117805
,1674039230
"ШАХ И МАТ СКУЧНОЙ ЖИЗНИ ♟

На прошлой неделе в СПб ГБУ КЦСОН Приморского района прошло физкультурное мероприятие «Рождественский турнир по шахматам» среди пенсионеров Приморского района Санкт-Петербурга. 

Участие приняло 14 человек (13 муж, 1 жен).
🥇Кругликов А.С., Артамонов В.И.
🥈Фащевский С.Р., Новиков А.Г.
🥉Карпенко А.В., Ушаков Ю.Ф.",1673853523
Расписание занятий на коньках в 2023 году❄❄❄ (возраст 7+),1673463167
,1673287210
,1673100354
"С НОВЫМ 2023 ГОДОМ 🎄🎄🎄
 
По итогам года принято подводить итоги. Самым главным итогом нашей работы стали десятки тысяч жителей Приморского района Санкт-Петербурга от самых маленьких до самых опытных, которые занимались спортом. Вместе с вами мы провели сотни различных физкультурных мероприятий, вместе с вами мы в ежедневном режиме занимались спортом, вместе с вами сдавали [club132206956| ГТО]. За все это мы хотим сказать вам спасибо 🙏
 
В 2023 году мы продолжит активно развивать различные формы массового спорта в нашем районе. Желаем вам крепкого здоровья, активной жизненной позиции, ярких спортивных эмоций и личных рекордов! 💙 
 
Центр спорта Приморского района - территория ваших достижений!🏆🎄",1672552800
"31 ДЕКАБРЯ ДЕНЬ ЗДОРОВЬЯ 

В последний день года самое главное это здоровье и внимание близким и родным. Мы приготовили для вас разнообразные видеотренировки, чтобы вы могли завтра больше уделить времени близким вам людям. 

31 декабря поддерживаем здоровье и физический тонус дома, а вот с 9 января будем интенсивно отрабатывать то, что накопится после праздничного стола. С 31 декабря по 8 января спортивные комплексы не работают. 

Видеотренировки доступны на нашем сайте по ссылке: http://gu171.site.gov.spb.ru/videotrenirovki/ 

Будьте здоровы! Мы вас любим ♥️",1672412450
,1672314856
"30 ДЕКАБРЯ РАБОТАЕМ ДО 15.00 

Наш спортивный комплекс работал целый год и под конец года ему нужно немного технического обслуживания, чтобы с 9 января вновь работать на благо жителей Приморского района Санкт-Петербурга. 

Приносим извинения за предоставленные неудобства.",1672231917
"ДЕНЬ ДВОРА НА БОГАТЫРСКОМ,5 💥💥💥

К сожалению, Дед Мороз из-за нагрузки в конце года не посетит мероприятие, зато будут его верные помощники, а все остальное как всегда будет на высшем уровне

Приглашаем к участию маленьких жителей Приморского района в увлекательном новогоднем физкультурном мероприятии. В программе: танцы, веселые тематические эстафеты, викторина и море положительного новогоднего заряда. 

Встречаемся 29 декабря в 15.00 на спортивной площадке по адресу Богатырский, 5
[club157189477|Муниципальный округ Комендантский аэродром]",1672165140
"ЗИМНИЙ КУБОК ПО ВОЛЕЙБОЛУ 🏐

В соревнованиях приняли участие сборные команды из числа занимающихся в секции по волейболу (2005-2009 года рождения). 

Подготовка к турниру началась в сентябре 2022 года, совместно с тренером ребята усердно тренировались, оттачивая технические приемы, так же тактику ведения игры. Победителям турнира был вручен Кубок, все участники награждены медалями, а также памятными призами. 🏆

Благодарим инструктора по спорту Ковалеву М.Л. , а также всех ребят за организацию и участие в соревнованиях. 

Для справки: совсем скоро ребята смогут снова встретиться, играя за свои образовательные учреждения. В январе-феврале состоится традиционные соревнования по волейболу среди образовательных учреждений Приморского района Санкт-Петербурга. В данных соревнования традиционно принимают участие сотни учащихся районных школ.",1672161072
,1671797354
"ЛЫЖНЫЕ СТРЕЛЫ ⛷ 
 
В Петербурге запустили «Лыжные стрелы» — бесплатные поездки для тех, кто любит проводить дни активно. Так, поезда доставили спортсменов в Шапки, Орехово и Токсово. 
 
От Финляндского вокзала до Орехово и обратно: 
24 декабря, 
8, 14, 22 и 28 января, 
5, 11, 19 и 25 февраля, 
5, 11 и 19 марта. 
 
От Финляндского вокзала до станции Токсово и обратно: 
25 декабря, 
7, 15, 21 и 29 января, 
4, 12, 18 и 26 февраля, 
4, 12 и 18 марта 
 
От Московского вокзала до станции Шапки и обратно: 
24 декабря, 
14, 22 и 28 января, 
5, 11, 19 и 25 февраля, 
5, 11 и 19 марта. 
 
Бесплатные билеты можно получить в отделе физической культуры и спорта администрации Приморского района Санкт-Петербурга в часы работы по адресу: ул. Школьная, 29, телефон для справок: 417-42-17",1671628424
"НОВОГОДНИЙ ОСТРОВ 

24 декабря в 13.00 встречаемся в Парке ""Озеро Долгое"" 🎄🎄🎄",1671549246
"БОГАТЫРИ ПРИМОРСКОГО РАЙОНА 💪🏻

19 декабря состоялось традиционное физкультурное мероприятие для юношей и девушек Приморского района. Так здорово, что у молодежи Приморского района есть возможность бесплатно заниматься спортом, думать о своем физическом и духовном развитии. 

Все участники получили памятный подарок от [club10277509|Центра спорта Приморского района], а призеры и победители в своих возрастных и весовых категориях медали 🥉🥈🥇

#соревнования@centrsporta",1671535173
"УВЕРЕННЫЕ ЛЫЖНИКИ 

15 декабря прошло городское физкультурное мероприятие «Старшее поколение» в дисциплине «лыжные гонки». Команда Приморского района, в составе 6 человек (2 жен, 4 муж) приняло активное участие и заняла 3 место 🥉👏🏻👏🏻

#чемпионы@centrsporta",1671462291
,1671432638
"МЕДАЛИ ИЗ ПЕТРОЗАВОДСКА ЕДУТ В СПБ!

В Петрозаводске прошел традиционный республиканский фестиваль по фитнес-аэробике «Рождественские звезды».  Спортсмены из группы «спортивная аэробика» завоевали 10 медалей:
🥇 6 медалей
🥈 2 медали
🥉 2 медали",1671364803
"ЗИМА НАСТУПИЛА! ЛЫЖИ С АНТРЕСОЛЕЙ ДОСТАЛИ! А ЧТО ДЕЛАТЬ ДАЛЬШЕ? 🤷🏽‍♀️

А дальше присоединяйтесь к нашим лыжным прогулкам.
Покажем, расскажем, научим! 

🗓️ понедельник, четверг, 19.00 
📍Шуваловский пр.

🗓️суббота, 12.00
📍Экопарк",1671289203
,1671288962
НОВОГОДНИЕ ГУЛЯНИЯ В ПАРКЕ «ОЗЕРО ДОЛГОЕ» 🎄,1671123961
"Все проекты хороши, но не можем не обратить внимание на идею о появлении новой современной востребованной спортивной площадки 

ГОЛОСУЕМ ЗА №2",1670912001
"В САМОЕ ЯБЛОЧКО 🎯

12 декабря провели турнир по дартсу среди инвалидов и лиц с ограниченными возможностями. Участие приняло 21 человек. 

По окончании турнира было проведено награждение за призовые места в личном зачете 🏆",1670911536
"Приглашаем на занятия на каток по адресу ул.Дибуновская, д.9! С собой приносить коньки, клюшки, шайбы!",1670844692
Пришло время достать лыжи с балкона! Группа ОФП переходит на зимний режим работы! Ждем вас на наших тренировках и лыжных прогулках!,1670777322
,1670574960
"Министерство спорта России опубликовало перечень организаций и индивидуальных предпринимателей на 2023 год по налоговому вычету за занятия спортом.

Напоминаем, что для получения вычета на спорт необходимо, чтобы физкультурно-спортивная организация или индивидуальный предприниматель были включены в утверждаемый ежегодно Правительством РФ соответствующий перечень.

Индивидуальные предприниматели и физкультурно-спортивные организации, находящиеся в Перечне Министерства спорта РФ, прошли тщательную проверку. Их работники имеют профессиональное образование в области физической культуры и спорта, они не являются недобросовестными поставщиками услуг и соблюдают трудовое законодательство.

Перечень на 2023 год размещен на официальном сайте Минспорта: https://vk.cc/cjpR7h

Подробную информацию по налоговому вычету также можно найти на официальном сайте Комитета: https://vk.cc/cjpRaU

#ЦентрспортаПриморскогорайона",1670431404
"В Доме журналиста (Невский проспект, 70) состоялась пресс-конференция, посвящённая организации в зимнем сезоне - 2023 в городе на Неве ""Лыжных стрел"", а также катков, хоккейных площадок и лыжных трасс.

Первый заместитель председателя Комитета по физической культуре и спорту Санкт-Петербурга Андрей Хорт сообщил представителям средств массовой информации, что впервые ""Лыжные стрелы"" стартуют уже в декабре: 18 декабря электрички отправятся в Орехово и Шапки. С 25 декабря откроется ещё одна локация - в Токсово.

Билеты можно получить на сайте kassir.ru и в районных Центрах физической культуры и спорта.

Андрей Хорт также отметил, что с наступлением устойчивой морозной погоды в Петербурге начнут работать 224 катка и хоккейные площадки, а на парковых территориях планируется оборудовать 79 лыжных трасс.

#МыСпортивныйПетербург
#ЛыжныеСтрелы 🚂

#ЦентрспортаПриморскогорайона",1670413516
"ЗАПИСЬ ПРИОСТАНОВЛЕНА 🏊🏼‍♂️ 🏊🏻‍♀️ 

К сожалению, все места в группы по плаванию заняты на период с 9 января по 30 апреля. 

Следующая запись с 3 апреля 2023 года. До встречи!",1670409077
"В Петербурге, в спорткомплексе Межвузовского студенческого городка, завершился XIX международный турнир по мини-футболу среди команд детских центров для детей-сирот, а также школ - интернатов.

Соревнования проходили в рамках финала общероссийского проекта ""Мини-футбол - в школу"" 2022 года.

В финале встретились команды из Тверской и Запорожской областей. Со счётом 2:0 победу одержали ребята из Тверской области.

В церемонии награждения принял участие председатель Комитета по физической культуре и спорту Санкт-Петербурга, Заслуженный мастер спорта России Антон Шантырь.

#МыСпортивныйПетербург
#благоедело

#ЦентрспортаПриморскогорайона",1670178260
,1670003877
"ПАПА, МАМА, Я - СПОРТИВНАЯ СЕМЬЯ 👨‍👩‍👦

Вчера в нашем комплексе состоялось замечательное районное физкультурное мероприятие «Папа, мама и я- спортивная семья» для родителей и детей подготовительных групп ГБДОУ и ОДОД ГБОУ Приморского района Санкт-Петербурга 

Каждая семья представляла детский сад [club153146938|Приморского района] и соревновались в 5 эстафетах. По итогам мероприятия все семьи - чемпионы 🏆

Наилучшие результаты показали семьи: 

🥇семья Бушмакиных (ГБДОУ №67)
🥈семья Ковальчуков (ГБДОУ №22)
🥉семья Кубеневых (ГБДОУ №26) 

Еще раз благодарим каждую семью и инструктора за участие и совсем скоро ждем вас среди участников районной [club58723214|Спартакиады семейных команд] ❤

#мероприятия@centrsporta #дошкольники@centrsporta",1669996630
А вот и один из последних турниров по мини-футболу в этом году❄❄❄❄,1669918330
"ЗАПИСЬ В БАССЕЙН ПРОДОЛЖАЕТСЯ 🏊🏻‍♀🏊🏻‍♂

Сегодня записали почти 300 человек, но места в группах еще остаются (см. прикрепленный файл) 💪🏻

Занятия по плаванию производятся в спортивных комплексах по адресам: Главная, 24 (ст. метро Удельная) и Испытателей, 2 (ст. метро Пионерская) согласно времени указанному в таблице.

Запись производится только в очном формате в спортивном комплексе по адресу: Нижне-Каменская, 1 ежедневно с 10 до 20. При записи необходимо иметь паспорт РФ и справку об отсутствии противопоказаний для занятий плаванием (терапевт).

Занятия проводятся в организованных группах на бесплатной и систематической основе не более одного раза в неделю (по будням: утром, днем, вечером - удобное время выбираете сами) для лиц от 18 до 70 лет. Количество мест ограничено. Запись в группу приостанавливается по мере заполнения группы. Запись производится в порядке живой очереди. 

За дополнительной информацией обращаться по телефону 240-01-67",1669917681
"#СПОРТИВНАЯЗИМА2022 ❄ 

Сегодня состоялся открытый мастер-класс по скандинавской [club35530017|ходьбе],приуроченный к Всероссийской акции ""Спортивная зима"". 

Также сегодня с 18-00 до 19-00 [club23702661|телеканал «Санкт-Петербург»] будет снимать сюжет про детский дворовый хоккей. Все желающие могут присоединиться - [club23559959|☆ 47 Квартал ☆] 🏒",1669892345
"ПЛЫВЕМ ВМЕСТЕ В НОВОМ ГОДУ. БЕСПЛАТНЫЕ ЗАНЯТИЯ ПО ПЛАВАНИЮ ДЛЯ ВЗРОСЛЫХ 🏊🏻‍♀🏊🏻‍♂

[club10277509|Центр спорта Приморского района] с 1 декабря начинает запись взрослого населения для занятий плаванием с 9 января по 30 апреля 2023 года

Занятия по плаванию производятся в спортивных комплексах по адресам: Главная, 24 (ст. метро Удельная) и Испытателей, 2 (ст. метро Пионерская) согласно времени указанному в таблице.

Запись производится только в очном формате в спортивном комплексе по адресу: Нижне-Каменская, 1 по будням с 10 до 20. При записи необходимо иметь паспорт РФ и справку об отсутствии противопоказаний для занятий плаванием (терапевт).

Занятия проводятся в организованных группах на бесплатной и систематической основе не более одного раза в неделю (по будням: утром, днем, вечером - удобное время выбираете сами) для лиц от 18 до 70 лет. Количество мест ограничено. Запись в группу приостанавливается по мере заполнения группы. Запись производится в порядке живой очереди. 

За дополнительной информацией обращаться по телефону 240-01-67

#Секции@centrsporta",1669831200
,1669751491
"ЕСТЬ ПЕРВЫЕ ПРИЗЁРЫ И ПОБЕДИТЕЛЬ 🏆

Состоялись финальные игры в рамках соревнований по мини-футболу (футзалу) среди команд общеобразовательных учреждений Приморского района Санкт-Петербурга в рамках проекта «Мини-футбол – в школу» ⚽️

В категории мальчики 2011-2012 г.р. призерами стали: 

🥇 [club205409526|ГБОУ школа №43]
🥈[club205419966|ГБОУ школа №655]
🥉 [club183847657|Инженерно-технологическая школа №777] 

Соревнования продолжаются и совсем скоро определятся призеры в других категориях 

#Соревнования_@centrsporta",1669731686
ВАЖНО!,1669709711
"24-25 ноября состоялось комплексное физкультурное мероприятие команд районов Санкт-Петербурга по волейболу среди лиц с ограниченными возможностями. 

Команда Приморского района в составе 6 (3 жен , 3 муж) заняла 2 🥈и 3 места 🥉",1669654980
"ВЕРНУЛИСЬ С ТРИУМФОМ 

На этих выходных наши юные флорболисты участвовали в Oxdog kids games (г. Кондопога, Республика Карелия) и вот результаты: 

В категории девочек 2011-2012 - 3 место 🥉
В категории юношей 2009-2010 - 2 место 🥈
В категории девушки 2009-2010 - 1 место 🥇🏆

Умнички же, да?! 👏🏻👏🏻👏🏻",1669642645
,1669638776
,1669547908
"Фонд «Добрый город Петербург» приглашает жителей 50+ в ""Смартфон-кафе""

[club187657127|Старшие.Онлайн]",1669377603
"🧘🏼
Кто рано встает, тот ходит на занятия йогой с 
инструктором [id9566900|Анжела Байло]",1669183202
"ДЕНЬ САМЫХ ЛЮБИМЫХ😊

День матери на Богатырском,9. 
Начинаем ровно в 16.00, не опаздывайте 😉

[club157189477|Муниципальный округ Комендантский аэродром]",1669125602
"ЗОЛОТО БЕРЁМ ОПТОМ 😎

19 ноября состоялись Чемпионат и Первенство г. Ярославля по фитнес-аэробике. Наши спортсмены привезли 12 медалей, а именно 11 🥇золотых и 1🥉бронзовую.
Так держать!",1669104003
"ОТМЕЧАЕМ ДЕНЬ РОЖДЕНИЯ!🎉

18 ноября День рождения у самого ожидаемого гостя зимы - у Деда Мороза! 🎅Предлагаем поздравить дедушку всем вместе - весело и физкультурно! 

[club7494837|МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ ОЗЕРО ДОЛГОЕ]",1668621601
"ВСЕРОССИЙСКИЙ ДЕНЬ ПРИЗЫВНИКА 🏆

15 ноября [club10277509|Центр спорта Приморского района] в рамках проведения комплексных физкультурных мероприятий ""Спартакиада допризывной молодежи на Кубок главы [club153146938|администрации Приморского района] Санкт-Петербурга в 22/23 учебном году"" провел соревнования по военно-спортивному многоборью, приуроченные к Всероссийскому Дню призывника. 

Юноши из более 30 образовательных учреждений Приморского района соревновались в плавании, стрельбе из электронного оружия, подтягивании и разборки-сборки автомата Калашникова (АК-74). В соревнованиях приняло участие более 90 юношей. 

Призовые места распределились следующим образом: 
🥇[club183847657|Инженерно-технологическая школа №777]
🥈 ГБОУ 554 
🥉 ГБОУ 106 

В личном зачете по результатам всех видов призерами стали: 
🥇Баловнев Никита (ГБОУ 554)
🥈Фатин Артём (ГБОУ 579)
🥉Шик Алексей (ГБОУ 554) 
🥉Копытов Антон (ГБОУ 320) 

Поздравляем юношей и школы с достойными результатами. Желаем дальнейших успехов на следующих этапах Спартакиады.",1668594002
